GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Victoria_Texas_Plant	1	1
Victoria_Texas_Plant	2	1
B_M_Davis_1	1	1
B_M_Davis_1	2	1
Cedar_Bayou_1	1	1
Cedar_Bayou_1	2	1
Cedar_Bayou_2	1	1
Cedar_Bayou_2	2	1
Dansby_1	1	1
Dansby_1	2	1
Decker_Creek_1	1	1
Decker_Creek_1	2	1
Decker_Creek_2	1	1
Decker_Creek_2	2	1
Graham_1	1	1
Graham_1	2	1
Graham_2	1	1
Graham_2	2	1
Greens_Bayou_5	1	1
Greens_Bayou_5	2	1
Handley_3	1	1
Handley_3	2	1
Handley_4	1	1
Handley_4	2	1
Handley_5	1	1
Handley_5	2	1
Lake_Hubbard_1	1	1
Lake_Hubbard_1	2	1
Lake_Hubbard_2	1	1
Lake_Hubbard_2	2	1
Mountain_Creek_6	1	1
Mountain_Creek_6	2	1
Mountain_Creek_7	1	1
Mountain_Creek_7	2	1
Mountain_Creek_8	1	1
Mountain_Creek_8	2	1
O_W_Sommers_1	1	1
O_W_Sommers_1	2	1
O_W_Sommers_2	1	1
O_W_Sommers_2	2	1
Pearsall_1	1	1
Pearsall_1	2	1
Pearsall_2	1	1
Pearsall_2	2	1
Pearsall_3	1	1
Pearsall_3	2	1
Powerlane_Plant_1	1	1
Powerlane_Plant_1	2	1
Powerlane_Plant_2	1	1
Powerlane_Plant_2	2	1
Powerlane_Plant_3	1	1
Powerlane_Plant_3	2	1
R_W_Miller_1	1	1
R_W_Miller_1	2	1
R_W_Miller_2	1	1
R_W_Miller_2	2	1
R_W_Miller_3	1	1
R_W_Miller_3	2	1
Ray_Olinger_1	1	1
Ray_Olinger_1	2	1
Ray_Olinger_2	1	1
Ray_Olinger_2	2	1
Ray_Olinger_3	1	1
Ray_Olinger_3	2	1
Sim_Gideon_1	1	1
Sim_Gideon_1	2	1
Sim_Gideon_2	1	1
Sim_Gideon_2	2	1
Sim_Gideon_3	1	1
