GEN_TPS_1	GEN_TPS_2	DispatchGen
Downie_Ranch_Solar_(OCI_Alamo_5)	11	95.0000000000014
Lone_Star_Wind_1_(Mesquite)	10	200.0
Desert_Sky_Wind_Farm_1	7	84.0
Tenaska_Kiamichi_Station_1	1	0.0
Penascal_Wind_3	1	100.8
Oak_Grove_SES_Unit_1	9	0.0
Notrees_Wind_Farm_2	12	60.0
T_H_Wharton_GT_54	1	0.0
Notrees_Wind_Farm_1	9	92.6
Sim_Gideon_1	11	0.0
South_Texas_U2	1	1295.0
Roscoe_Wind_Farm	4	209.0
V_H_Braunig_3	9	0.0
Texas_Gulf_Sulphur_(New_Gulf)	10	0.0
W_A_Parish_3	3	0.0
Turkey_Track_Wind_Energy_Center	5	0.0
Longhorn_Wind_North_U2	3	100.0
Quail_Run_Energy_1	9	0.0
Buffalo_Gap_Wind_Farm_2_1	9	115.5
Winchester_Power_Park_2	11	0.0
Sand_Hill_Energy_Center_GT_4	9	0.0
WKN_Mozart_Wind	10	0.0
Magic_Valley_Wind_(Redfish)_1B	12	103.5
Greenville_Powerlane_IC3	7	0.0
Sand_Hill_Energy_Center_GT_7	12	0.0
Ferguson_Replacement	9	509.8
Pearsall_IC_Engine_Plant_D	4	0.0
Green_Power_2	11	0.0
Magic_Valley_Station	7	670.2
South_Trent_Wind_Farm	4	98.2
Midlothian_1	2	0.0
Permian_Basin_3	9	0.0
Pecos_Wind_(Woodward_1)	4	82.5
Stanton_Wind_Energy	12	48.9919429999982
ExTex_La_Porte_Power_Station_AirPro_1	10	0.0
Tenaska_Frontier_Station	1	0.0
Nueces_Bay_8	3	633.0
Stephens_Ranch_Wind_2	2	26.8935899999988
Odessa_Ector_Generating_Station_1	3	0.0
Capricorn_Ridge_Wind_1	10	214.5
Decker_Creek_G2	8	0.0
Ray_Olinger_2	9	0.0
Handley_3	7	0.0
Leon_Creek_Peaking_3	9	46.0
Sam_Rayburn_GT_2	12	0.0
Powerlane_Plant_2	10	0.0
Sherbino_1_Wind	10	150.0
Goldthwaite_Wind_1	12	148.6
Sam_Rayburn_GT_1	9	0.0
Miami_Wind_G2	4	144.3
Bayou_Cogen_Plant	8	165.6
Bosque_County_CC_2	4	0.0
Panda_Sherman	5	0.0
Barilla_Solar_(FS,_Pecos)	12	0.0
Notrees_Wind_Farm_2	3	60.0
Greenville_Powerlane_IC3	3	0.0
Hidalgo_1	3	458.0
Desert_Sky_Wind_Farm_2	2	76.5
Panther_Creek_3	1	199.5
V_H_Braunig_3	2	0.0
Twin_Oaks_2	11	0.0
ExTex_La_Porte_Power_Station_AirPro_3	3	0.0
Greens_Bayou_74	12	0.0
Pearsall_2	10	22.0
Hydro_South_LZ	10	67.7
Jumbo_Road_Wind_1	5	146.2
Permian_Basin_1	4	0.0
ExxonMobil_Baytown_Refinery	6	4.3
Jumbo_Road_Wind_1	2	146.2
Sweetwater_Wind_4-5	9	0.0
T_H_Wharton_GT_53	1	0.0
Sandow_U4	9	0.0
Pearsall_IC_Engine_Plant_C	8	50.6
Greenville_Powerlane_IC3	8	0.0
Channelview_Cogen_Plant	7	861.0
Midlothian_2	6	0.0
Green_Power_2	12	0.0
Colorado_Bend_Energy_Center_1	3	233.0
Sandow_U4	4	0.0
Midlothian_1	11	0.0
Nacogdoches_Power	7	0.0
Anacacho_Wind	11	99.8
Stanton_Wind_Energy	11	120.0
Big_Brown_2	11	0.0
Capricorn_Ridge_Wind_4	8	112.5
Clear_Lake_Cogeneration_Ltd	4	384.9
Pearsall_IC_Engine_Plant_A	3	50.6
B_M_Davis_1	7	330.0
Callahan_Wind	11	114.0
Tenaska_Gateway_Station	9	0.0
Sandy_Creek_1	10	0.0
Ray_Olinger_2	2	0.0
Horse_Hollow_Wind_3	1	208.0
Desert_Sky_Wind_Farm_2	7	76.5
Sam_Rayburn_GT_2	3	0.0
DeCordova_3	10	0.0
Desert_Sky_Wind_Farm_1	3	84.0
Goldthwaite_Wind_1	5	148.6
Arthur_Von_Rosenberg_1	10	458.0
Bayou_Cogen_Plant	3	165.6
Ingleside_Cogeneration	8	478.4
Sweetwater_Wind_4-5	6	0.0
Barilla_Solar_(FS,_Pecos)	7	0.0
Paris_Energy_Center_1	7	0.0
Green_Mountain_Wind_(Brazos)_U2	11	61.0
Sand_Hill_Energy_Center_GT_4	1	0.0
W_A_Parish_5	7	0.0
Roscoe_Wind_Farm	10	209.0
Hydro_RCEC_LZ	1	0.0
Trinidad_6	7	0.0
Nacogdoches_Power	4	0.0
Greens_Bayou_74	7	0.0
Wolf_Ridge_Wind	9	112.5
Pearsall_2	3	22.0
Monticello_U3	1	0.0
V_H_Braunig_5	10	0.0
Buffalo_Gap_Wind_Farm_2_1	7	115.5
Buffalo_Gap_Wind_Farm_1	9	120.6
Winchester_Power_Park_2	5	0.0
Pearsall_IC_Engine_Plant_C	3	0.0
Morgan_Creek_4	1	0.0
Renewable_Energy_Alternatives_CCS1	2	2.0
Colorado_Bend_Energy_Center_1	12	233.0
Decker_Creek_G3	4	0.0
Hydro_LCRA_LZ	6	280.0
Pecos_Wind_(Woodward_1)	10	82.5
Bosque_County_CC_1	3	0.0
Stanton_Wind_Energy	2	120.0
Limestone_2	8	0.0
Jack_County_Generation_Facility_2	3	0.0
Clear_Lake_Cogeneration_Ltd	3	384.9
