GENERATION_PROJECT	build_year	gen_predetermined_cap
Greens_Bayou_73	1976	53.46
Greens_Bayou_74	1976	53.46
Greens_Bayou_81	1976	53.46
Greens_Bayou_83	1976	63.36
Greens_Bayou_84	1976	63.36
Laredo_Peaking_4	2008	93.59
Laredo_Peaking_5	2008	93.59
Leon_Creek_Peaking_1	2004	47.04
Leon_Creek_Peaking_2	2004	47.04
Leon_Creek_Peaking_3	2004	47.04
Leon_Creek_Peaking_4	2004	47.04
Morgan_Creek_A	1988	79.38
Morgan_Creek_B	1988	79.38
Morgan_Creek_C	1988	79.38
Morgan_Creek_D	1988	79.38
Morgan_Creek_E	1988	79.38
Morgan_Creek_F	1988	79.38
New_2017_CT1	2017	46
New_2017_CT2	2017	46
Permian_Basin_A	1988	67.62
Permian_Basin_B	1988	69.58
Permian_Basin_C	1988	72.52
Permian_Basin_D	1990	72.52
Permian_Basin_E	1990	73.5
R_W_Miller_4	1994	112.7
R_W_Miller_5	1994	112.7
Ray_Olinger_4	2001	82.32
Sam_Rayburn_GT_1	1963	12.87
Sam_Rayburn_GT_2	1963	12.87
San_Jacinto_SES_1	1995	78.975
San_Jacinto_SES_2	1995	78.975
Sand_Hill_GT_1	2001	45.08
Sand_Hill_GT_2	2001	44.1
Sand_Hill_GT_3	2001	46.06
Sand_Hill_GT_4	2001	48.02
Sand_Hill_GT_5	2010	45.08
Sand_Hill_GT_6	2010	45.08
Silas_Ray_10	2004	47.04
Sweeny_Cogen_Facility	1997	558.272
T_H_Wharton_G_1	1967	57.42
T_H_Wharton_GT_51	1975	12.74
T_H_Wharton_GT_52	1975	56.84
T_H_Wharton_GT_53	1975	56.84
T_H_Wharton_GT_54	1975	56.84
T_H_Wharton_GT_55	1975	56.84
T_H_Wharton_GT_56	1975	56.84
Texas_Gulf_Sulphur_Newgulf	1985	81.18
V_H_Braunig_5	2009	46.55
V_H_Braunig_6	2009	46.55
V_H_Braunig_7	2009	46.55
V_H_Braunig_8	2009	46.55
Victoria_Texas_Plant	1987	44.8512
W_A_Parish_Petra_Nova	2017	81
W_A_Parish_T1	1967	12.87
Winchester_Power_Park_1	2009	44.1
Winchester_Power_Park_2	2009	44.1
Winchester_Power_Park_3	2009	44.1
Winchester_Power_Park_4	2009	44.1
