GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
Tenaska_Frontier_Station	8	NG	6430.3096000000005
R_W_Miller_1	7	NG	0.0
Ennis_Power_Station_1	6	NG	0.0
Wolf_Hollow_Power_Proj_1	9	NG	0.0
Dansby_1	5	NG	0.0
BP_Chemicals_Green_Lake_Plant	9	NG	92.0
Clear_Lake_Cogeneration_Ltd	8	NG	3116.200437
Big_Brown_2	9	Coal-Sub	0.0
Texas_City_1	2	NG	0.0
R_W_Miller_2	9	NG	0.0
B_M_Davis_3	4	NG	0.0
J_K_Spruce_2	5	Coal-Sub	0.0
V_H_Braunig_1	5	NG	0.0
Ferguson_Replacement	3	NG	3594.09
Greens_Bayou_74	3	NG	0.0
Channelview_Cogen_Plant	6	NG	5694.26655
Odessa_Ector_Generating_Station_1	3	NG	0.0
Bosque_County_CC_1	12	NG	0.0
Dansby_1	7	NG	0.0
Quail_Run_Energy_1	11	NG	0.0
Pearsall_IC_Engine_Plant_A	11	NG	495.07546
Sweeny_Cogen_Facility	6	NG	3876.2999999999997
Paris_Energy_Center_1	11	NG	0.0
Arthur_Von_Rosenberg_1	12	NG	3671.8088999999995
V_H_Braunig_8	9	NG	465.01800000000003
Ector_County_Energy	11	NG	0.0
Laredo_Peaking_5	3	NG	0.0
Tenaska_Kiamichi_Station_1	2	NG	0.0
Jack_County_Generation_Facility_2	4	NG	0.0
Lost_Pines_1	6	NG	0.0
Sandow_U4	9	Coal-Lig	0.0
Silas_Ray_9	4	NG	584.3499999999999
Sandy_Creek_1	1	Coal-Sub	0.0
Big_Brown_1	2	Coal-Lig	0.0
Pearsall_2	12	NG	319.0
Lost_Pines_1	10	NG	0.0
Silas_Ray_10	4	NG	454.848
Big_Brown_2	3	Coal-Sub	0.0
Martin_Lake_3	6	Coal-Sub	0.0
Bayou_Cogen_Plant	1	NG	1643.8631759999998
Leon_Creek_Peaking_2	11	NG	0.0
J_T_Deely_1	7	Coal-Sub	0.0
Sand_Hill_Energy_Center_GT_6	10	NG	464.736
Decker_Creek_1	10	NG	3278.00025
W_A_Parish_7	8	Coal-Sub	0.0
Twin_Oaks_1	1	Coal-Lig	0.0
C_R_Wing_Cogen_Plant	2	NG	0.0
Comanche_Peak_U2	9	Uranium	4232.729290029
Channelview_Cogen_Plant	7	NG	5694.26655
Powerlane_Plant_2	5	NG	0.0
Pearsall_IC_Engine_Plant_A	12	NG	0.0
Dallas-Fort_Worth_Area_LFG	9	Biogas	0.0
Sam_Rayburn_GT_1	9	NG	0.0
Dallas-Fort_Worth_Area_LFG	12	Biogas	0.0
Sweeny_Cogen_Facility	1	NG	3876.2999999999997
Dallas-Fort_Worth_Area_LFG	3	Biogas	0.0
Morgan_Creek_4	10	NG	0.0
Nueces_Bay_8	4	NG	5209.938149999999
DeCordova_1	7	NG	0.0
Decker_Creek_G1	11	NG	0.0
Ray_Olinger_2	2	NG	0.0
Winchester_Power_Park_3	12	NG	0.0
