GEN_TPS_1	GEN_TPS_2	DispatchGen
Stryker_Creek_2	2	0.0
Panda_Temple_II_CTG2	2	0.0
Twin_Oaks_2	2	0.0
Permian_Basin_5	1	0.0
Pearsall_2	1	0.0
Twin_Oaks_1	2	0.0
Monticello_U2	2	0.0
Hays_Energy_Facility_1	2	0.0
Trent_Wind_Farm	1	75.0
Colorado_Bend_Energy_Center_2	1	235.0
Decker_Creek_G4	1	0.0
Red_Canyon_Wind	1	42.0
Big_Brown_2	2	0.0
Laredo_Peaking_4	2	0.0
DeCordova_4	2	0.0
Equistar_Corpus_Christi	1	12.0
Greens_Bayou_5	2	0.0
Blue_Summit_Wind_5	2	4.5
Leon_Creek_Peaking_4	2	0.0
Rio_Nogales_1	2	0.0
Powerlane_Plant_3	1	41.0
Comanche_Peak_U2	1	1195.0
Penascal_Wind_2	1	70.8
Goat_Wind_2	1	34.8
ExxonMobil_Baytown_Refinery	1	4.3
Sand_Hill_Energy_Center_5a	1	295.0
Green_Pastures_Wind_2	2	75.0
Pearsall_1	1	0.0
Grandview_1_(Conway)_GV1A	2	53.7
T_H_Wharton_GT_51	1	0.0
Hydro_South_LZ	1	67.7
Silas_Ray_9	1	0.0
Powerlane_Plant_2	1	26.0
Bull_Creek_Wind_Plant_U1	2	44.0
Greenville_Powerlane_IC3	2	8.4
Midlothian_1	1	940.0
Twin_Oaks_1	1	0.0
Pecos_Wind_(Woodward_2)	2	38.6
Tenaska_Frontier_Station	2	0.0
Leon_Creek_Peaking_1	2	0.0
Grandview_1_(Conway)_GV1B	2	51.9
Morgan_Creek_4	1	0.0
OCI_Alamo_4_Solar_(Bracketville)	2	18.8
Mountain_Creek_7	2	0.0
Snyder_Wind_Farm	2	0.0
W_A_Parish_2	2	0.0
Langford_Wind_Power	1	77.5
Sim_Gideon_3	1	0.0
Dansby_3	2	0.0
Morgan_Creek_1	2	0.0
Powerlane_Plant_1	2	0.0
Bosque_County_CC_2	1	230.3
B_M_Davis_1	2	0.0
Bastrop_Energy_Center_1	2	219.75
OCI_Alamo_1_Solar	2	19.6
